pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,Zip_Code,p_white,p_black,p_asian,p_hispanic,p_poverty
3128.0,71875.0,53.6,2573.0,44.0,0.0,572.0,316.0,ZCTA5 92036,92036,0.8225703324808185,0.014066496163682864,0.0,0.18286445012787725,0.1010230179028133
39284.0,141822.0,44.9,28477.0,478.0,4680.0,5159.0,3198.0,ZCTA5 92037,92037,0.7249007229406375,0.012167803685979025,0.11913247123510844,0.1313257305773343,0.0814071886773241
45978.0,103585.0,39.1,35349.0,931.0,780.0,10097.0,4040.0,ZCTA5 92040,92040,0.768824220279264,0.020248814650485013,0.016964635260341903,0.21960502849188743,0.08786811083561703
37546.0,76974.0,39.1,20316.0,1255.0,1604.0,15338.0,4997.0,ZCTA5 92054,92054,0.5410962552602141,0.03342566451819102,0.04272092899376764,0.4085122250039951,0.13309007617322752
53265.0,102570.0,38.9,30826.0,1669.0,4532.0,16536.0,2485.0,ZCTA5 92056,92056,0.5787289965268,0.03133389655496104,0.08508401389280015,0.31044776119402984,0.04665352482868675
57994.0,106421.0,37.7,29298.0,3125.0,5091.0,23058.0,4224.0,ZCTA5 92057,92057,0.5051901920888368,0.053884884643238956,0.08778494326999345,0.39759285443321724,0.07283512087457324
49189.0,72479.0,24.8,24308.0,3424.0,2682.0,21099.0,3641.0,ZCTA5 92058,92058,0.4941755270487304,0.06960905893594097,0.054524385533350955,0.42893736404480676,0.0740206143650003
1693.0,92500.0,55.6,1189.0,2.0,40.0,285.0,157.0,ZCTA5 92061,92061,0.7023036030714708,0.0011813349084465446,0.02362669816893089,0.16834022445363261,0.09273479031305375
48555.0,144201.0,41.9,30345.0,1356.0,6515.0,8152.0,2503.0,ZCTA5 92064,92064,0.6249613839975285,0.02792709298733395,0.13417773658737514,0.16789208114509319,0.05154978889918649
37397.0,120550.0,41.0,26834.0,370.0,659.0,11440.0,2069.0,ZCTA5 92065,92065,0.7175441880364735,0.009893841752012194,0.017621734363719013,0.30590689092707973,0.05532529347273846
46825.0,93065.0,36.5,22654.0,749.0,5213.0,21541.0,5493.0,ZCTA5 92069,92069,0.4838013881473572,0.01599572877736252,0.11132941804591565,0.4600320341697811,0.11730912973838761
59739.0,105603.0,39.5,41888.0,1426.0,3333.0,13000.0,4964.0,ZCTA5 92071,92071,0.7011834814777615,0.023870503356266427,0.0557926982373324,0.21761328445404174,0.08309479569460486
11996.0,146210.0,47.5,9695.0,93.0,615.0,1482.0,705.0,ZCTA5 92075,92075,0.8081860620206736,0.007752584194731577,0.05126708902967656,0.12354118039346448,0.058769589863287765
53542.0,114905.0,38.6,33161.0,701.0,5573.0,15129.0,4387.0,ZCTA5 92078,92078,0.619345560494565,0.013092525494004706,0.10408651152366366,0.28256322139628703,0.081935676665048
29596.0,102663.0,37.0,18882.0,1235.0,2269.0,8933.0,2482.0,ZCTA5 92081,92081,0.6379916204892553,0.041728611974591164,0.07666576564400594,0.3018313285579132,0.08386268414650629
20596.0,118602.0,41.7,12523.0,385.0,604.0,7885.0,1830.0,ZCTA5 92082,92082,0.6080306855700136,0.01869295008739561,0.029326082734511556,0.3828413284132841,0.0888522043115168
37957.0,82614.0,34.1,15746.0,912.0,1526.0,23588.0,4184.0,ZCTA5 92083,92083,0.41483784282214087,0.02402718866085307,0.04020338804436599,0.6214400505835551,0.11022999710198382
49533.0,97410.0,34.9,25995.0,1094.0,1915.0,24079.0,4635.0,ZCTA5 92084,92084,0.5248016473865907,0.022086285910403167,0.03866109462378616,0.48612036420164334,0.09357398098237539
1410.0,68224.0,60.6,874.0,7.0,140.0,364.0,248.0,ZCTA5 92086,92086,0.6198581560283688,0.004964539007092199,0.09929078014184398,0.2581560283687943,0.17588652482269504
48163.0,90477.0,37.0,29737.0,3791.0,4763.0,11324.0,7734.0,ZCTA5 92101,92101,0.6174241637771734,0.07871187426032432,0.09889334136162614,0.2351182442954135,0.16057969810850653
39001.0,71319.0,33.9,16968.0,3611.0,2392.0,21673.0,5960.0,ZCTA5 92102,92102,0.43506576754442194,0.0925873695546268,0.061331760724084,0.5557036999051307,0.15281659444629625
34817.0,96887.0,41.7,25169.0,858.0,2526.0,6950.0,3155.0,ZCTA5 92103,92103,0.7228939885688026,0.024643134101157482,0.07255076543068041,0.1996151305396789,0.09061665278455927
46912.0,92862.0,34.9,28213.0,3405.0,2798.0,14453.0,4627.0,ZCTA5 92104,92104,0.6014026261937244,0.07258270804911324,0.059643587994542974,0.308087482946794,0.09863148021828104
