pop_total,med_income,med_age,white_alone,black_alone,asian_alone,hispanic_any,pop_below_poverty,NAME,state,county,tract,GEOID,p_white,p_black,p_asian,p_hispanic,p_poverty,STATE,COUNTY,TRACT,centroid_lon,centroid_lat,region
3921.0,58636.0,30.0,1157.0,461.0,947.0,1825.0,728.0,Census Tract 27.10; San Diego County; California,06,073,002710,06073002710,0.29507778627901043,0.11757204794695231,0.24152002040295842,0.46544248916092834,0.18566692170364704,06,073,002710,-117.08567864795918,32.7439743877551,coastal
3772.0,87011.0,30.4,740.0,838.0,784.0,1180.0,320.0,Census Tract 27.11; San Diego County; California,06,073,002711,06073002711,0.19618239660657477,0.22216330858960764,0.20784729586426298,0.31283138918345704,0.08483563096500531,06,073,002711,-117.07062623563218,32.739158321839085,coastal
5566.0,54083.0,32.2,1360.0,1342.0,795.0,2674.0,1529.0,Census Tract 27.12; San Diego County; California,06,073,002712,06073002712,0.24434063959755659,0.24110671936758893,0.1428314768235717,0.48041681638519584,0.274703557312253,06,073,002712,-117.07277262244898,32.73074907142857,coastal
4477.0,73795.0,19.5,2967.0,206.0,647.0,786.0,741.0,Census Tract 28.01; San Diego County; California,06,073,002801,06073002801,0.6627205718114809,0.046012955103864196,0.14451641724368997,0.17556399374581194,0.1655126200580746,06,073,002801,-117.08176023245613,32.77476673684211,coastal
5207.0,80991.0,35.2,2272.0,330.0,781.0,1534.0,809.0,Census Tract 28.03; San Diego County; California,06,073,002803,06073002803,0.43633570193969656,0.06337622431342424,0.14999039754177068,0.2946034184751296,0.15536777415018244,06,073,002803,-117.08330487027028,32.76486945405406,coastal
5541.0,88156.0,23.6,3572.0,317.0,604.0,1329.0,1169.0,Census Tract 28.04; San Diego County; California,06,073,002804,06073002804,0.6446489803284605,0.05720988991156831,0.10900559465800397,0.23984840281537628,0.2109727486013355,06,073,002804,-117.07481217391305,32.764654255434785,coastal
5979.0,75729.0,33.1,3644.0,393.0,550.0,1674.0,928.0,Census Tract 29.02; San Diego County; California,06,073,002902,06073002902,0.6094664659642081,0.06573005519317611,0.09198862686067905,0.2799799297541395,0.1552099013212912,06,073,002902,-117.0585707037037,32.761526518518515,coastal
4606.0,93344.0,30.1,1797.0,298.0,552.0,1721.0,547.0,Census Tract 29.03; San Diego County; California,06,073,002903,06073002903,0.3901432913590968,0.06469821971341728,0.11984368215371255,0.373643074250977,0.11875814155449414,06,073,002903,-117.05519693670887,32.74882672151899,coastal
9812.0,45746.0,21.3,6382.0,1268.0,940.0,1413.0,3370.0,Census Tract 29.04; San Diego County; California,06,073,002904,06073002904,0.6504280472890338,0.1292295148797391,0.09580105992662047,0.1440073379535263,0.3434569914390542,06,073,002904,-117.06304726694914,32.77078891101695,coastal
5310.0,74500.0,31.3,2368.0,760.0,423.0,1652.0,1532.0,Census Tract 29.05; San Diego County; California,06,073,002905,06073002905,0.44595103578154427,0.1431261770244821,0.07966101694915254,0.3111111111111111,0.2885122410546139,06,073,002905,-117.04871523589743,32.77119965641025,coastal
4484.0,91397.0,31.4,1034.0,1269.0,233.0,1599.0,453.0,Census Tract 30.01; San Diego County; California,06,073,003001,06073003001,0.23059768064228367,0.28300624442462086,0.05196253345227476,0.35660124888492417,0.10102586975914363,06,073,003001,-117.0731170209424,32.71844753403141,coastal
4926.0,84622.0,39.2,1664.0,777.0,400.0,2581.0,775.0,Census Tract 30.03; San Diego County; California,06,073,003003,06073003003,0.3377994315874949,0.1577344701583435,0.08120178643930166,0.523954526999594,0.15732846122614697,06,073,003003,-117.05800186572439,32.727547932862194,coastal
5260.0,64815.0,32.2,1685.0,1138.0,178.0,3730.0,644.0,Census Tract 30.04; San Diego County; California,06,073,003004,06073003004,0.3203422053231939,0.21634980988593155,0.03384030418250951,0.7091254752851711,0.12243346007604562,06,073,003004,-117.0604617852349,32.71302546979866,coastal
3913.0,88229.0,36.5,884.0,1038.0,732.0,1774.0,335.0,Census Tract 31.01; San Diego County; California,06,073,003101,06073003101,0.22591362126245848,0.2652696141068234,0.1870687452082801,0.45336059289547664,0.08561206235624841,06,073,003101,-117.0798581923077,32.69868692948718,coastal
6462.0,99919.0,37.0,797.0,1513.0,659.0,3480.0,467.0,Census Tract 31.03; San Diego County; California,06,073,003103,06073003103,0.12333642835035592,0.23413803775920766,0.10198081089445991,0.5385329619312906,0.07226864747756112,06,073,003103,-117.043879188,32.706816956,coastal
4343.0,108068.0,35.9,1586.0,396.0,413.0,2709.0,432.0,Census Tract 31.05; San Diego County; California,06,073,003105,06073003105,0.3651853557448768,0.09118121114437025,0.09509555606723463,0.6237623762376238,0.09947041215749482,06,073,003105,-117.03040055555556,32.70863177777778,coastal
5307.0,97105.0,46.5,1551.0,801.0,1288.0,1841.0,433.0,Census Tract 31.07; San Diego County; California,06,073,003107,06073003107,0.2922555115884681,0.15093273035613342,0.2426983229696627,0.3469003203316375,0.08159035236480121,06,073,003107,-117.02298487307692,32.70665211923077,coastal
3526.0,112837.0,34.4,1068.0,218.0,296.0,2083.0,251.0,Census Tract 31.08; San Diego County; California,06,073,003108,06073003108,0.3028927963698242,0.06182643221781055,0.08394781622234827,0.5907543959160522,0.07118547929665343,06,073,003108,-117.0165923836478,32.707275496855345,coastal
3319.0,123368.0,44.3,240.0,397.0,1981.0,590.0,373.0,Census Tract 31.09; San Diego County; California,06,073,003109,06073003109,0.07231093702922567,0.11961434166917746,0.5968665260620669,0.17776438686351312,0.1123832479662549,06,073,003109,-117.05638401793722,32.69221443049327,coastal
6211.0,46528.0,31.2,1647.0,915.0,1743.0,3236.0,1532.0,Census Tract 31.11; San Diego County; California,06,073,003111,06073003111,0.2651746900660119,0.14731927225889552,0.2806311383030108,0.5210111093221703,0.24665915311544034,06,073,003111,-117.07561815151514,32.70127812987013,coastal
3938.0,85965.0,35.4,554.0,489.0,875.0,2027.0,198.0,Census Tract 31.12; San Diego County; California,06,073,003112,06073003112,0.14068054850177755,0.12417470797359066,0.22219400711020823,0.5147282884713053,0.05027932960893855,06,073,003112,-117.06288424223602,32.70575416149068,coastal
4719.0,114028.0,41.1,644.0,589.0,2010.0,998.0,347.0,Census Tract 31.13; San Diego County; California,06,073,003113,06073003113,0.13646959101504555,0.1248145793600339,0.4259376986649714,0.21148548421275695,0.07353252807798262,06,073,003113,-117.06326652678571,32.69545757142857,coastal
3482.0,110081.0,43.3,645.0,479.0,1804.0,600.0,326.0,Census Tract 31.14; San Diego County; California,06,073,003114,06073003114,0.1852383687535899,0.1375646180356117,0.5180930499712809,0.1723147616312464,0.09362435381964389,06,073,003114,-117.04480207692308,32.69953930316742,coastal
5613.0,85156.0,44.8,991.0,593.0,2771.0,1708.0,917.0,Census Tract 31.15; San Diego County; California,06,073,003115,06073003115,0.17655442722251916,0.10564760377694637,0.4936753964012115,0.30429360413326206,0.1633707464813825,06,073,003115,-117.03912640611354,32.69649543668122,coastal
5488.0,93508.0,31.0,1061.0,734.0,1678.0,2125.0,628.0,Census Tract 32.01; San Diego County; California,06,073,003201,06073003201,0.19333090379008747,0.13374635568513119,0.30575801749271136,0.38720845481049565,0.11443148688046648,06,073,003201,-117.05944411538461,32.683169367521366,coastal
4891.0,91435.0,38.2,1664.0,393.0,296.0,3562.0,173.0,Census Tract 32.02; San Diego County; California,06,073,003202,06073003202,0.3402167245961971,0.08035166632590472,0.06051932120220814,0.7282764260887344,0.03537108975669597,06,073,003202,-117.06413885310735,32.6732204519774,coastal
3605.0,118750.0,40.4,1298.0,70.0,616.0,2040.0,312.0,Census Tract 32.04; San Diego County; California,06,073,003204,06073003204,0.3600554785020804,0.019417475728155338,0.170873786407767,0.565880721220527,0.08654646324549237,06,073,003204,-117.05509663703704,32.65717997777777,coastal
5768.0,109704.0,50.7,2429.0,98.0,1102.0,2363.0,344.0,Census Tract 32.07; San Diego County; California,06,073,003207,06073003207,0.4211165048543689,0.01699029126213592,0.19105409153952843,0.4096740638002774,0.059639389736477116,06,073,003207,-117.03374816714698,32.670355812680114,coastal
6749.0,82594.0,32.2,1477.0,748.0,2110.0,2561.0,708.0,Census Tract 32.08; San Diego County; California,06,073,003208,06073003208,0.21884723662764854,0.11083123425692695,0.3126389094680693,0.37946362424062824,0.1049044302859683,06,073,003208,-117.0450303818182,32.67881740909091,coastal
5277.0,80436.0,36.5,1170.0,665.0,1843.0,1617.0,161.0,Census Tract 32.09; San Diego County; California,06,073,003209,06073003209,0.22171688459351904,0.12601857115785484,0.3492514686374834,0.30642410460488917,0.03050975933295433,06,073,003209,-117.03945794680851,32.682957484042554,coastal
3077.0,96563.0,40.1,877.0,155.0,488.0,1565.0,253.0,Census Tract 32.11; San Diego County; California,06,073,003211,06073003211,0.28501787455313615,0.05037374065648359,0.1585960350991225,0.5086122846928827,0.08222294442638935,06,073,003211,-117.05507826222221,32.67736423111111,coastal
3930.0,103281.0,39.0,782.0,298.0,960.0,1533.0,330.0,Census Tract 32.12; San Diego County; California,06,073,003212,06073003212,0.1989821882951654,0.07582697201017811,0.24427480916030533,0.3900763358778626,0.08396946564885496,06,073,003212,-117.05355049758455,32.67149888888889,coastal
3825.0,125164.0,40.9,403.0,447.0,2100.0,929.0,249.0,Census Tract 32.13; San Diego County; California,06,073,003213,06073003213,0.105359477124183,0.11686274509803922,0.5490196078431373,0.24287581699346406,0.06509803921568627,06,073,003213,-117.03041569594593,32.68895931081081,coastal
4587.0,80762.0,37.5,917.0,1296.0,823.0,1614.0,269.0,Census Tract 32.14; San Diego County; California,06,073,003214,06073003214,0.1999127970350992,0.28253760627861346,0.17942010028340963,0.35186396337475473,0.05864399389579246,06,073,003214,-117.02120635483871,32.69513879032258,coastal
3338.0,72773.0,30.4,1233.0,798.0,76.0,2198.0,649.0,Census Tract 33.01; San Diego County; California,06,073,003301,06073003301,0.3693828639904134,0.2390653085680048,0.022768124625524265,0.658478130617136,0.19442780107849011,06,073,003301,-117.10267202197802,32.70289269230769,coastal
3969.0,57699.0,34.5,1471.0,424.0,285.0,2564.0,683.0,Census Tract 33.03; San Diego County; California,06,073,003303,06073003303,0.3706223230032754,0.10682791635172588,0.07180650037792895,0.6460065507684555,0.17208364827412445,06,073,003303,-117.09900566949152,32.692912228813555,coastal
3164.0,45362.0,30.4,804.0,594.0,645.0,1540.0,677.0,Census Tract 33.04; San Diego County; California,06,073,003304,06073003304,0.25410872313527183,0.1877370417193426,0.2038558786346397,0.48672566371681414,0.21396965865992415,06,073,003304,-117.09135640594059,32.70669575247525,coastal
